I240683,15/05/2024,Okara,Okara,1-4L, 708 , 283 , 231 , 54 ,, 177 ,,LIVE - 100% Completed,100%,283.2," 14,710,666 "," 2,206,599.9 "," 12,504,066.3 ",-1,,0.4," 2,850 "," 18,016 ",Hybrid,15%,LIVE,Hybrid,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I240683,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240518,27/02/2024,Islamabad,Naval Anchorage and other Areas (ISB),18_P1, 888 , 444 , 14 ,, 2 , 12 ,,LIVE - 100% Completed,100%,444," 5,022,290 "," 753,343.5 "," 4,268,946.6 ",0,,0.5," 1,744 "," 2,789 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I240518,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240518,27/02/2024,Islamabad,Naval Anchorage and other Areas (ISB),18_P2, 278 , 139 , -   ,,,,,REMOVE BUDGET (T),0%,139," 4,525,188 ", -   ," 4,525,188.2 ",-1,,0.5," 1,706 "," 6,138 ",Buried,,NOT LIVE,,0%,0,Mar-26,None,Duration Doesn't Exsists, No ETA , Yet to Start ,,Timeline not applicable,remove (after June),Temporary Budget Removal,REMOVE BUDGET (T),,,,0,,I240518,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240701,16/05/2024,Feeders/Transportations,Swat,24F Cable, -   , -   ,,,,,,FEEDER ETC WORK - RETAIN BUDGET,0%,0," 660,000 "," 330,000.0 "," 330,000.0 ",-1,,, -   , -   ,,50%,,,0%,0,Mar-26,None,Duration Doesn't Exsists, No ETA , Yet to Start ,,Timeline not applicable,,Feeders/Trans,FEEDER ETC WORK - RETAIN BUDGET,,,,,,I240701,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I250734,No Initiation Date,Bahawalpur,Bahwalpur (P2)-B,3 Marla Scheme," 1,730 ", 692 , Not Live Yet ,,,,,NOT LIVE - RETAIN BUDGET,85%,692," 8,809,572 "," 2,444,656.4 ",,,,," 1,287 "," 9,420 ",Hybrid,85%,Not Live,,85%,0.85,Mar-26,31,32,-16 , In Progress ,1 Month ,Apr-2026,Cable pulling pending,Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Apr-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Adam Housing-P1, 554 , 249 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,249.3," 16,702,836 "," 16,702,835.8 ",,,,0.45," 8,364 "," 7,443 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Adam Housing-P2, 428 , 193 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,192.6," 14,769,070 "," 14,769,070.3 ",,,,0.45," 7,361 "," 6,329 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I240540,28/02/2024,Mardan,Mardan Ph2,Abdullah Colony & Nawa Killy, 394 , 158 , 394 , 13 , 12 , 1 , -   ,,100%,157.6," 7,472,399 "," 1,120,859.8 "," 6,351,539.1 ",-1,,0.4, -   ," 19,593 ",Hybrid,15%,LIVE,Hybrid,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I240540,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240702,15/05/2024,Hyderabad,Hyderabad,Abdullah Sports Tower Ext, 96 , 38 , 58 , -   ,,,,NOT LIVE - RETAIN BUDGET,100%,38.4," 3,652,917 "," 547,937.6 "," 3,104,979.9 ",-1,,0.4," 1,376 ", 840 ,Buried,100%,NOT LIVE,,100%,1,Mar-26,92,93, 45 , Completed ,46174,Jun-2026,"Civil work completed, but not live due to pending customer possession from the builder.",Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,1,,,,,I240702,Jun-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Al Hussain Garden, 228 , 103 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,102.6," 6,341,933 "," 6,341,933.0 ",,,,0.45," 3,085 "," 2,786 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I240703,15/05/2024,Lahore,Lahore Ph5,Abid Market, 656 , 262 ,,,,,,NOT LIVE - RETAIN BUDGET,80%,262.4," 7,827,127 "," 2,504,680.7 "," 5,322,446.6 ",-1,,0.4, 874 ," 2,023 ",Hybrid,80%,NOT LIVE,,80%,0.8,Mar-26,0,1,-47 , In Progress ,46054,Mar-2026,Cable pulling pending,Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,1,,,,,I240703,Mar-26,,,,,,,,,,,,,,,,,,,,,,
I240705,15/05/2024,Karachi,Karachi Ph5,AbrazulMinal_KingsBridgeView," 1,400 ", 560 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,560," 4,430,148 "," 4,430,148.1 ", -   ,-0.833,,0.4, 415 ," 1,275 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,31,32,-16 , Yet to Start ,46204,Apr-2026,Permission Issue,Not Live - Permission Issues,NOT LIVE - RETAIN BUDGET,2,,,,,I240705,Apr-26,,,,,,,,,,,,,,,,,,,,,,
I240704,15/05/2024,Multan,Multan Ph3,Adam Housing ," 1,130 ", 452 , -   , -   , -   , -   , Budget Shifted ,LIVE - 100% Completed,100%,452," 36,999,249 "," 5,549,887.3 "," 31,449,361.6 ",#DIV/0!,,0.4," 18,159 "," 13,746 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,Swapped with Manic Block Buch Villas ,Swap Cases,LIVE - 100% Completed,,,,,,I240704,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Al Inam Gardens, 316 , 142 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,142.2," 10,497,665 "," 10,497,664.8 ",,,,0.45," 5,046 "," 4,504 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Al Rasool Town, 310 , 140 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,139.5," 9,129,729 "," 9,129,729.0 ",,,,0.45," 4,881 "," 4,476 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Canal View, 582 , 262 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,261.9," 5,787,366 "," 5,787,365.8 ",,,,0.45, 998 ," 4,521 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I240705,15/05/2024,Karachi,Karachi Ph5,AFOHS PK-1, 984 , 394 ,,,,,,LIVE - 100% Completed,100%,393.6," 52,832,203 "," 7,924,830.5 "," 44,907,372.9 ",-1,,0.4," 25,052 "," 17,445 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I240705,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240705,15/05/2024,Karachi,Karachi Ph5,AFOHS PK-2, 478 , 191 ,,,,,,LIVE - 100% Completed,100%,191.2," 23,923,706 "," 3,588,555.9 "," 20,335,149.8 ",-0.765,,0.4," 11,643 "," 9,277 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I240705,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240705,15/05/2024,Karachi,Karachi Ph5,AFOHS PK-3," 1,256 ", 502 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,502.4," 64,454,759 "," 64,454,759.1 ", -   ,-1,,0.4," 29,179 "," 25,756 ",Buried,0%,NOT LIVE,,0%,0,Mar-26,92,93, 45 , Yet to Start ,46174,Jun-2026,Need to retain,Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,1,,,,,I240705,Jun-26,,,,,,,,,,,,,,,,,,,,,,
INT-23-00445,29/12/2022,Rawalpindi,Rawalpindi Misc Areas,Afzal Town Expansion(Aerial)," 1,428 ", 714 , 245 , 49 , 53 , 143 ,,LIVE - 100% Completed,100%,714," 9,210,946 "," 1,381,641.9 "," 7,829,304.4 ",#DIV/0!,,0.5, -   ," 12,238 ",Arial,15%,LIVE,Arial,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,INT-23-00445,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I250212,14/09/2024,Swat,Mingora,Airport (Ghanshal village) P01 , 266 , 106 , 121 , 107 , 9 , 5 ,,LIVE - 100% Completed,100%,106.4," 2,211,881 "," 331,782.2 "," 1,880,099.2 ",-1,,0.4, -   ," 2,931.95 ",Arial,15%,LIVE,Arial,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I250212,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I250212,14/09/2024,Swat,Mingora,Airport (Ghanshal village) P01 , 234 , 94 , 108 , 95 , 6 , 7 ,,LIVE - 100% Completed,100%,93.6," 1,910,813 "," 286,622.0 "," 1,624,191.1 ",-0.85,,0.4, -   ," 3,443 ",Arial,15%,LIVE,Arial,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I250212,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,CPC Colony, 346 , 156 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,155.7," 6,395,180 "," 6,395,179.5 ",,,,0.45," 1,705 "," 5,520 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Dream City, 532 , 239 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,239.4," 15,928,201 "," 15,928,200.5 ",,,,0.45," 7,954 "," 7,119 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I240700,15/05/2024,Gujranwala,Gujranwala Ph3,Ajwa City_P1 ," 2,202 ", 881 ,,,,,,LIVE - 100% Completed,100%,880.8," 60,544,036 "," 9,081,605.4 "," 51,462,430.5 ",-1,,0.4," 33,562 "," 26,265 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I240700,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240700,15/05/2024,Gujranwala,Gujranwala Ph3,Ajwa City_P2," 3,046 "," 1,218 ",,,,,,NOT LIVE - RETAIN BUDGET,75%,1218.4," 74,734,285 "," 27,091,178.2 "," 47,643,106.5 ",0,,0.4," 41,664 "," 33,271 ",Buried,75%,NOT LIVE,,75%,0.75,Mar-26,31,32,-16 , In Progress ,46113,Apr-2026,HHs placement in progress,Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,1,,,,,I240700,Apr-26,,,,,,,,,,,,,,,,,,,,,,
I240703,15/05/2024,Lahore,Lahore Ph5,Etihad Town," 2,606 "," 1,042 ",,,,,,LIVE - 100% Completed,100%,1042.4," 35,268,957 "," 5,290,343.6 "," 29,978,613.8 ",-1,,0.4," 9,645 "," 5,209 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I240703,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240703,15/05/2024,Feeders/Transportations,Lahore Ph5,Feeder, -   , -   ,,,,,,FEEDER ETC WORK - RETAIN BUDGET,0%,0," 82,640,788 "," 41,320,394.0 "," 41,320,394.0 ",-1,,," 26,448 ", -   ,,50%,,,0%,0,Mar-26,None,Duration Doesn't Exsists, No ETA , Yet to Start ,,Timeline not applicable,,Feeders/Trans,FEEDER ETC WORK - RETAIN BUDGET,,,,,,I240703,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240703,15/05/2024,Lahore,Lahore Ph5,Ferozpur Road," 2,278 ", 911 ,,,,,,NOT LIVE - RETAIN BUDGET,10%,911.2," 29,293,629 "," 26,803,670.3 "," 2,489,958.4 ",-1,,0.4," 4,462 "," 11,277 ",Hybrid,10%,NOT LIVE,,10%,0.1,Mar-26,31,32,-16 , In Progress ,46113,Apr-2026,Civil Work hold by TEPA/LDA,Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,2,,,,,I240703,Apr-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Ejaz Town, 690 , 311 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,310.5," 8,524,660 "," 8,524,660.4 ",,,,0.45," 2,366 "," 8,636 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Feeders/Transportations,DG Khan,Feeder, -   , -   ,,,,,,FEEDER ETC WORK - RETAIN BUDGET,0%,0," 93,527,861 "," 93,527,861.2 ",,,,," 30,856 ", -   ,,100%,,,0%,0,Mar-26,None,Duration Doesn't Exsists, No ETA , Yet to Start ,,Timeline not applicable,,Feeders/Trans,FEEDER ETC WORK - RETAIN BUDGET,,,,,,#N/A,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240682,16/05/2024,Faisalabad,Faisalabad Ph4,Al Barkat Villas, 190 , 76 ,, -   , -   , -   , Yet not active ,SWAPPED,0%,76," 3,623,949 ", -   ," 3,623,949.2 ",-1,,0.4, 810 ," 1,873 ",Arial,,NOT LIVE,,0%,0,Mar-26,None,Duration Doesn't Exsists, No ETA , Yet to Start ,,Timeline not applicable,swapping with city walk,Swap Cases,SWAPPED,,,City Walk," 4,637,081 ",254,I240682,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I250210,14/09/2024,Sargodha,Sargodha,Al Freed Garden Phase 1, 480 , 192 ,,, Not Active ,, Not Live ,NOT LIVE - RETAIN BUDGET,70%,192," 7,111,635 "," 2,880,212.3 "," 4,231,422.9 ",-1,,0.4," 1,465 "," 6,090 ",Hybrid,70%,NOT LIVE,,70%,0.7,Mar-26,61,62, 14 , In Progress ,2 Months,May-2026,"This Colony linked with the DPLC backup connectivity; once completed, the area will go live.",Swap Cases,NOT LIVE - RETAIN BUDGET,1,,,,,I250210,May-26,,,,,,,,,,,,,,,,,,,,,,
I250210,14/09/2024,Sargodha,Sargodha,Al Freed Garden Phase 2, 670 , 268 ,,, Not Active ,, Not Live ,NOT LIVE - RETAIN BUDGET,70%,268," 8,501,573 "," 3,443,137.0 "," 5,058,435.8 ",-0.765,,0.4," 1,472 "," 8,346 ",Hybrid,70%,NOT LIVE,,70%,0.7,Mar-26,61,62, 14 , In Progress ,2 Months,May-2026,"This Colony linked with the DPLC backup connectivity; once completed, the area will go live.",Swap Cases,NOT LIVE - RETAIN BUDGET,1,,,,,I250210,May-26,,,,,,,,,,,,,,,,,,,,,,
I260361,No Initiation Date,Lahore,Lhr MW City & Al Hafeez Ph-1,Al Hafeez Garden Ph-1," 1,406 ", 562 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,," 23,973,146 "," 23,973,146.4 ",,,,," 10,946 "," 10,113 ",Buried,0%,Not Live,,0%,0,Mar-26,122,123, 75 , Yet to Start ,4 moths,Jul-2026,Hold by Society end.,Not Live - Others Reasons,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Jul-26,,,,,,,,,,,,,,,,,,,,,,
I260105,No Initiation Date,Lahore,Al Hafeez Garden & Tariq Garden,Al Hafeez Garden Ph-5," 1,450 ", 580 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,," 26,639,855 "," 26,639,854.6 ",,,,," 14,837 "," 13,185 ",Buried,0%,Not Live,,0%,0,Mar-26,92,93, 45 , Yet to Start ,3 months,Jun-2026,Duct Plan Shared / Hold by Society end.,Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Jun-26,,,,,,,,,,,,,,,,,,,,,,
I260105,No Initiation Date,Lahore,Al Hafeez Garden & Tariq Garden,Al Hafeez Gdn Ph-2," 1,404 ", 562 ,,,,,,LIVE - 100% Completed,100%,," 29,240,432 "," 4,386,064.8 ",,,,," 14,059 "," 11,126 ",Buried,15%,Live,Buried ,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,#N/A,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240440,19/01/2024,Lahore,Al Jalil & Al khalil LHE,Al Hamra, 424 , 170 ,,,,,,NOT LIVE - RETAIN BUDGET,40%,169.6," 6,253,881 "," 4,127,561.6 "," 2,126,319.6 ",-1,,0.4," 1,586 "," 5,600 ",Hybrid,40%,NOT LIVE,,40%,0.4,Mar-26,31,32,-16 , In Progress ,46113,Apr-2026,Civil Work in Progress,Not Live - Work in Progress (WIP),NOT LIVE - RETAIN BUDGET,1,1,,,,I240440,Apr-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Garden Town, 488 , 220 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,219.6," 12,126,847 "," 12,126,847.3 ",,,,0.45," 6,266 "," 4,905 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Gul zameen Colony, 196 , 88 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,88.2," 3,336,732 "," 3,336,731.9 ",,,,0.45, 804 ," 2,478 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Gulberg housing Society," 1,166 ", 525 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,524.7," 31,413,471 "," 31,413,471.5 ",,,,0.45," 15,331 "," 14,230 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I260599,No Initiation Date,Dera Ghazi Khan,DG Khan,Indus Smart City, 148 , 67 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,66.6," 2,754,115 "," 2,754,114.6 ",,,,0.45, 578 ," 2,336 ",Hybrid,0%,NOT LIVE,,0%,0,Mar-26,214,215, 167 , Yet to Start ,6 Months,Oct-2026,"These Projects have not been started yet, proceedings shall be done post eid",Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,,,,,,#N/A,Oct-26,,,,,,,,,,,,,,,,,,,,,,
I240440,19/01/2024,Lahore,Al Jalil & Al khalil LHE,Al Jalil Housing P2," 2,232 ", 893 ,,,,,,LIVE - 100% Completed,100%,892.8," 49,814,023 "," 7,472,103.4 "," 42,341,919.4 ",-0.85,,0.4," 27,166 "," 25,219 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,1,,,,I240440,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240440,19/01/2024,Lahore,Al Jalil & Al khalil LHE,Al Jalil Housing P3," 2,210 ", 884 ,,,,,,LIVE - 100% Completed,100%,884," 38,711,035 "," 5,806,655.2 "," 32,904,379.7 ",-1,,0.4," 20,895 "," 19,996 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,1,,,,I240440,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
I240440,19/01/2024,Lahore,Al Jalil & Al khalil LHE,Al Jalil Housing P4," 2,106 ", 842 ,,,,,,NOT LIVE - RETAIN BUDGET,0%,842.4," 39,895,633 "," 39,895,632.6 ", -   ,-0.85,,0.4," 22,635 "," 21,019 ",Buried,0%,NOT LIVE,,0%,0,Mar-26,None,Duration Doesn't Exsists, No ETA , Yet to Start ,Not Given By BUH,Feedback Awaited,Need to retain,Not Live - Work to be initiated,NOT LIVE - RETAIN BUDGET,2,1,,,,I240440,Feedback Awaited,,,,,,,,,,,,,,,,,,,,,,
I240440,19/01/2024,Lahore,Al Jalil & Al khalil LHE,Al Kabeer Ph-2-Pk1," 2,268 ", 907 ,,,,,,LIVE - 100% Completed,100%,907.2," 39,719,478 "," 5,957,921.8 "," 33,761,556.7 ",-1,,0.4," 20,816 "," 21,073 ",Buried,15%,LIVE,Buried,100%,1,Mar-26,None,Duration Doesn't Exsists, No ETA , Completed ,,Timeline not applicable,,Live - As per Plan,LIVE - 100% Completed,,,,,,I240440,Timeline not applicable,,,,,,,,,,,,,,,,,,,,,,
